title,rating,numOfRatings
'Til There Was You (1997),2.3333333333333335,9
1-900 (1994),2.6,5
101 Dalmatians (1996),2.908256880733945,109
12 Angry Men (1957),4.344,125
187 (1997),3.024390243902439,41
2 Days in the Valley (1996),3.225806451612903,93
"20,000 Leagues Under the Sea (1954)",3.5,72
2001: A Space Odyssey (1968),3.969111969111969,259
3 Ninjas: High Noon At Mega Mountain (1998),1.0,5
"39 Steps, The (1935)",4.0508474576271185,59
8 1/2 (1963),3.8157894736842106,38
8 Heads in a Duffel Bag (1997),3.25,4
8 Seconds (1994),3.75,4
A Chef in Love (1996),4.125,8
Above the Rim (1994),3.0,5
Absolute Power (1997),3.37007874015748,127
"Abyss, The (1989)",3.589403973509934,151
Ace Ventura: Pet Detective (1994),3.0485436893203883,103
Ace Ventura: When Nature Calls (1995),2.675675675675676,37
Across the Sea of Time (1995),2.75,4
Addams Family Values (1993),2.8160919540229883,87
Addicted to Love (1997),3.1666666666666665,54
"Addiction, The (1995)",2.1818181818181817,11
"Adventures of Pinocchio, The (1996)",3.051282051282051,39
"Adventures of Priscilla, Queen of the Desert, The (1994)",3.5945945945945947,111
"Adventures of Robin Hood, The (1938)",3.791044776119403,67
"Affair to Remember, An (1957)",4.1923076923076925,26
"African Queen, The (1951)",4.184210526315789,152
Afterglow (1997),3.111111111111111,18
"Age of Innocence, The (1993)",3.3846153846153846,65
Aiqing wansui (1994),5.0,1
Air Bud (1997),2.558139534883721,43
Air Force One (1997),3.6310904872389793,431
"Air Up There, The (1994)",2.8125,16
Airheads (1994),2.34375,32
Akira (1988),3.38,50
Aladdin (1992),3.8127853881278537,219
Aladdin and the King of Thieves (1996),2.8461538461538463,26
Alaska (1996),2.6923076923076925,13
Albino Alligator (1996),2.5,6
Alice in Wonderland (1951),3.6666666666666665,81
Alien (1979),4.034364261168385,291
Alien 3 (1992),2.83,100
Alien: Resurrection (1997),3.096774193548387,124
Aliens (1986),3.9471830985915495,284
All About Eve (1950),4.045454545454546,66
All Dogs Go to Heaven 2 (1996),1.8666666666666667,15
All Over Me (1997),3.0,3
All Things Fair (1996),3.0,1
Alphaville (1965),3.3333333333333335,12
Amadeus (1984),4.163043478260869,276
Amateur (1994),3.1666666666666665,18
"Amazing Panda Adventure, The (1995)",2.8,10
American Buffalo (1996),2.6363636363636362,11
American Dream (1990),2.5,2
"American President, The (1995)",3.6280487804878048,164
American Strays (1996),2.0,2
"American Werewolf in London, An (1981)",3.5353535353535355,99
"American in Paris, An (1951)",3.7,50
Amistad (1997),3.8548387096774195,124
Amityville 1992: It's About Time (1992),1.0,5
Amityville 3-D (1983),1.1666666666666667,6
"Amityville Curse, The (1990)",1.25,4
"Amityville Horror, The (1979)",2.5660377358490565,53
Amityville II: The Possession (1982),1.6428571428571428,14
Amityville: A New Generation (1993),1.0,5
Amityville: Dollhouse (1996),1.0,3
Amos & Andrew (1993),2.6842105263157894,19
An Unforgettable Summer (1994),2.5,4
Anaconda (1997),2.289473684210526,38
Anastasia (1997),3.4242424242424243,66
Andre (1994),3.111111111111111,18
Angel Baby (1995),3.75,4
Angel and the Badman (1947),3.0,6
Angel on My Shoulder (1946),2.0,1
Angela (1995),3.0,1
Angels and Insects (1995),3.4166666666666665,72
Angels in the Outfield (1994),2.923076923076923,39
Angus (1995),2.642857142857143,14
Anna (1996),4.5,2
Anna Karenina (1997),3.090909090909091,33
Anne Frank Remembered (1995),3.857142857142857,21
Annie Hall (1977),3.911111111111111,180
Another Stakeout (1993),2.5,28
Antonia's Line (1995),3.9565217391304346,69
Aparajito (1956),3.5714285714285716,7
"Apartment, The (1960)",3.9365079365079363,63
Apocalypse Now (1979),4.04524886877828,221
Apollo 13 (1995),3.931159420289855,276
"Apostle, The (1997)",3.6545454545454548,55
"Apple Dumpling Gang, The (1975)",2.84,25
April Fool's Day (1986),2.6666666666666665,15
Apt Pupil (1998),4.1,160
"Aristocats, The (1970)",3.1296296296296298,54
Army of Darkness (1993),3.4310344827586206,116
Around the World in 80 Days (1956),3.6610169491525424,59
"Arrival, The (1996)",3.036144578313253,83
Arsenic and Old Lace (1944),4.078260869565217,115
As Good As It Gets (1997),4.196428571428571,112
Assassins (1995),2.871794871794872,39
"Assignment, The (1997)",3.5,18
"Associate, The (1996)",3.2439024390243905,41
Audrey Rose (1977),2.1666666666666665,12
August (1996),1.0,1
Austin Powers: International Man of Mystery (1997),3.246153846153846,130
"Awfully Big Adventure, An (1995)",2.375,8
Ayn Rand: A Sense of Life (1997),3.142857142857143,7
B*A*P*S (1997),1.6666666666666667,3
B. Monkey (1998),3.0,1
Babe (1995),3.9954337899543377,219
"Baby-Sitters Club, The (1995)",2.5,10
Babyfever (1994),1.0,2
"Babysitter, The (1995)",2.3333333333333335,3
Back to the Future (1985),3.834285714285714,350
Backbeat (1993),3.473684210526316,19
Bad Boys (1995),3.1052631578947367,57
Bad Company (1995),2.2222222222222223,9
Bad Girls (1994),1.8333333333333333,6
Bad Moon (1996),2.6666666666666665,6
Bad Taste (1987),3.375,16
"Ballad of Narayama, The (Narayama Bushiko) (1958)",2.75,4
Balto (1995),3.0,16
Bananas (1971),3.7017543859649122,57
"Band Wagon, The (1953)",3.6666666666666665,9
Barb Wire (1996),1.9333333333333333,30
Barbarella (1968),2.5714285714285716,28
Barcelona (1994),3.018867924528302,53
Basic Instinct (1992),3.227722772277228,101
"Basketball Diaries, The (1995)",3.425,40
Basquiat (1996),3.25,44
Bastard Out of Carolina (1996),2.875,16
Batman & Robin (1997),2.4516129032258065,62
Batman (1989),3.427860696517413,201
Batman Forever (1995),2.6666666666666665,114
Batman Returns (1992),2.683098591549296,142
Baton Rouge (1988),1.0,1
Bean (1997),2.659340659340659,91
"Beans of Egypt, Maine, The (1994)",3.5,2
Beat the Devil (1954),3.7142857142857144,7
"Beautician and the Beast, The (1997)",2.313953488372093,86
Beautiful Girls (1996),3.391304347826087,115
Beautiful Thing (1996),3.9655172413793105,29
Beauty and the Beast (1991),3.792079207920792,202
Beavis and Butt-head Do America (1996),2.7884615384615383,156
Bed of Roses (1996),3.2333333333333334,60
Bedknobs and Broomsticks (1971),3.0701754385964914,57
Before Sunrise (1995),3.4081632653061225,49
Before and After (1996),2.8461538461538463,26
Before the Rain (Pred dozhdot) (1994),3.8,10
Being Human (1993),1.75,4
Being There (1979),3.9051724137931036,116
"Believers, The (1987)",2.25,16
Belle de jour (1967),3.945945945945946,37
Ben-Hur (1959),3.8306451612903225,124
Benny & Joon (1993),3.4607843137254903,102
Bent (1997),2.6666666666666665,6
Best Men (1997),3.4,5
Best of the Best 3: No Turning Back (1995),1.5,6
Better Off Dead... (1985),3.569620253164557,79
"Beverly Hillbillies, The (1993)",2.25,20
Beverly Hills Cop III (1994),2.392857142857143,28
Beverly Hills Ninja (1997),2.3125,48
"Bewegte Mann, Der (1994)",3.6666666666666665,3
Beyond Bedlam (1993),1.0,2
Beyond Rangoon (1995),3.0555555555555554,18
Bhaji on the Beach (1993),2.875,8
"Big Bang Theory, The (1994)",4.0,1
"Big Blue, The (Grand bleu, Le) (1988)",3.235294117647059,17
Big Bully (1996),1.8571428571428572,14
"Big Green, The (1995)",2.5,14
"Big Lebowski, The (1998)",3.8333333333333335,42
Big Night (1996),3.9005847953216373,171
"Big One, The (1997)",3.0,1
"Big Sleep, The (1946)",4.027397260273973,73
"Big Squeeze, The (1996)",2.25,4
Billy Madison (1995),3.081081081081081,37
Bio-Dome (1996),1.903225806451613,31
Bird of Prey (1996),1.0,1
"Birdcage, The (1996)",3.4436860068259385,293
"Birds, The (1963)",3.808641975308642,162
Bitter Moon (1992),3.3,10
Bitter Sugar (Azucar Amargo) (1996),4.333333333333333,3
Black Beauty (1994),3.4444444444444446,27
Black Sheep (1996),2.6363636363636362,55
Blade Runner (1982),4.138181818181818,275
Blink (1994),3.0,19
Bliss (1997),2.5714285714285716,7
"Blob, The (1958)",2.717391304347826,46
Blood & Wine (1997),2.8636363636363638,22
Blood Beach (1981),2.1666666666666665,6
Blood For Dracula (Andy Warhol's Dracula) (1974),2.4,5
Bloodsport 2 (1995),1.7,10
"Bloody Child, The (1996)",1.0,1
Blown Away (1994),2.7586206896551726,29
"Blue Angel, The (Blaue Engel, Der) (1930)",3.7777777777777777,18
Blue Chips (1994),2.6666666666666665,9
Blue Sky (1994),3.4166666666666665,12
Blue in the Face (1995),3.1777777777777776,45
Blues Brothers 2000 (1998),2.8214285714285716,28
"Blues Brothers, The (1980)",3.8366533864541834,251
Bob Roberts (1992),3.7411764705882353,85
Body Parts (1991),1.6153846153846154,13
"Body Snatcher, The (1945)",3.5,22
Body Snatchers (1993),2.971014492753623,69
Bogus (1996),2.5454545454545454,22
"Bonheur, Le (1965)",2.0,4
Bonnie and Clyde (1967),3.819672131147541,122
Boogie Nights (1997),3.5873015873015874,189
Boomerang (1992),2.8125,32
"Boot, Das (1981)",4.203980099502488,201
Booty Call (1997),2.1666666666666665,48
Bottle Rocket (1996),3.4545454545454546,44
Bound (1996),3.8217054263565893,129
Boxing Helena (1993),2.2,15
Boy's Life 2 (1997),3.3333333333333335,6
Boys (1996),3.3333333333333335,6
Boys Life (1995),3.2,5
Boys in Venice (1996),1.0,2
"Boys of St. Vincent, The (1993)",3.3846153846153846,13
Boys on the Side (1995),3.1470588235294117,34
"Boys, Les (1997)",3.3333333333333335,3
"Brady Bunch Movie, The (1995)",2.8026315789473686,76
Braindead (1992),3.857142857142857,14
Bram Stoker's Dracula (1992),3.158333333333333,120
Brassed Off (1996),3.9375,32
Braveheart (1995),4.151515151515151,297
Brazil (1985),3.8173076923076925,208
Bread and Chocolate (Pane e cioccolata) (1973),3.1666666666666665,12
Breakdown (1997),3.4025974025974026,77
Breakfast at Tiffany's (1961),3.7263157894736842,95
Breaking the Waves (1996),3.72972972972973,74
Bride of Frankenstein (1935),3.608695652173913,46
"Bridge on the River Kwai, The (1957)",4.175757575757576,165
"Bridges of Madison County, The (1995)",3.1641791044776117,67
Bringing Up Baby (1938),3.838235294117647,68
Broken Arrow (1996),3.031496062992126,254
Broken English (1996),2.25,8
"Bronx Tale, A (1993)",3.7916666666666665,48
Brother Minister: The Assassination of Malcolm X (1994),3.0,5
"Brother's Kiss, A (1997)",2.0,1
"Brothers McMullen, The (1995)",3.452054794520548,73
Brothers in Trouble (1995),4.0,1
"Browning Version, The (1994)",3.0,10
Buddy (1997),2.25,4
Bulletproof (1996),3.204081632653061,49
Bullets Over Broadway (1994),3.7209302325581395,86
Burnt By the Sun (1994),3.7083333333333335,24
Burnt Offerings (1976),2.4444444444444446,9
Bushwhacked (1995),1.5714285714285714,7
Butch Cassidy and the Sundance Kid (1969),3.949074074074074,216
"Butcher Boy, The (1998)",4.0,2
Butterfly Kiss (1995),1.0,1
"Bye Bye, Love (1995)",3.1333333333333333,15
C'est arrivé près de chez vous (1992),3.0,4
Cabin Boy (1994),2.5625,16
"Cable Guy, The (1996)",2.339622641509434,106
Calendar Girl (1993),2.0,3
Canadian Bacon (1994),2.413793103448276,29
"Candidate, The (1972)",3.641025641025641,39
Candyman (1992),2.723076923076923,65
Candyman: Farewell to the Flesh (1995),2.4285714285714284,21
Cape Fear (1962),3.5232558139534884,86
Cape Fear (1991),3.456140350877193,171
Captives (1994),2.3333333333333335,3
Career Girls (1997),3.2564102564102564,39
Careful (1992),1.0,1
Carlito's Way (1993),3.4074074074074074,54
Carmen Miranda: Bananas Is My Business (1994),1.5,2
Caro Diario (Dear Diary) (1994),2.75,4
Carpool (1996),2.8,5
Carrie (1976),3.5041322314049586,121
Carried Away (1996),3.0,11
Carrington (1995),3.230769230769231,13
Casablanca (1942),4.45679012345679,243
Casino (1995),3.6483516483516483,91
Casper (1995),3.076923076923077,52
Castle Freak (1995),1.25,4
Cat People (1982),2.8958333333333335,48
Cat on a Hot Tin Roof (1958),3.9516129032258065,62
Cats Don't Dance (1997),2.84375,32
Catwalk (1995),1.3333333333333333,3
Caught (1996),3.25,8
Celestial Clockwork (1994),4.0,2
"Celluloid Closet, The (1995)",3.892857142857143,56
Celtic Pride (1996),2.2,15
"Cement Garden, The (1993)",3.6,10
Cemetery Man (Dellamorte Dellamore) (1994),2.869565217391304,23
Century (1993),3.0,1
Chain Reaction (1996),2.7,80
Chairman of the Board (1998),2.2222222222222223,9
"Chamber, The (1996)",3.0930232558139537,43
Charade (1963),3.925,40
Chasers (1994),2.2,5
Chasing Amy (1997),3.8390501319261214,379
Children of the Corn: The Gathering (1996),1.3157894736842106,19
Children of the Revolution (1996),3.2,5
Chinatown (1974),4.136054421768708,147
"Christmas Carol, A (1938)",4.057971014492754,69
Chungking Express (1994),3.5714285714285716,28
"Ciao, Professore! (1993)",2.75,4
Cinderella (1950),3.5813953488372094,129
